branch_name	release_date	serie_folder	set_folder	card_count	priority_tier	priority_score	localized_additions	net_insertions	excluded_reason
pr/McDonald-s-Collection-McDonald-s-Collection-2022	2022-08-03	McDonald's Collection	McDonald's Collection 2022	15	1	3716	276	1173	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2021	2021-02-09	McDonald's Collection	McDonald's Collection 2021	25	1	2984	80	1799	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-Collection-McDonald-s-2019	2019-10-30	McDonald's Collection	Collection McDonald's 2019	40	1	3973	152	1897	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2019	2019-10-15	McDonald's Collection	McDonald's Collection 2019	12	1	935	3	639	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2018	2018-10-19	McDonald's Collection	McDonald's Collection 2018	12	1	677	2	389	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-Collection-McDonald-s-2018	2018-06-13	McDonald's Collection	Collection McDonald's 2018	40	1	3874	146	1846	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2017	2017-08-03	McDonald's Collection	McDonald's Collection 2017	12	1	1228	42	620	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2016	2016-08-20	McDonald's Collection	McDonald's Collection 2016	12	1	1208	43	592	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2015	2015-11-27	McDonald's Collection	McDonald's Collection 2015	12	1	1225	42	617	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2014	2014-05-23	McDonald's Collection	McDonald's Collection 2014	12	1	1387	39	803	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-Collection-McDonald-s-2013	2013-11-01	McDonald's Collection	Collection McDonald's 2013	12	1	1354	54	650	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2012	2012-06-15	McDonald's Collection	McDonald's Collection 2012	12	1	1375	50	703	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2011	2011-06-17	McDonald's Collection	McDonald's Collection 2011	12	1	1335	47	687	skip McDonald's sets (already pending PR)
pr/Mega-Evolution-Phantasmal-Flames	2025-11-14	Mega Evolution	Phantasmal Flames	3	3	51	6	0	closed low-value first PR (cosmetic/truncated text scope)
